,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,METADATA,EFFECTIVE_COUPON_AMOUNT,POI_ID,CARD_INITIAL_NUMBER,OPERATION_TAGS,ITEM_ID,POI_BANK_NAME,POI_WALLET_NAME,BUSINESS_UNIT,SUB_UNIT,BALANCE_AMOUNT,PAYOUT_BANK_ACCOUNT_NUMBER,PRODUCT_SKU,SALE_DETAIL
33,2024-01-04T11:48:22.000-03:00,69972729948,,release,payout,0.00,30000.00,-30000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-04T11:48:22.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,21514.07,00998944,,
34,2024-01-04T11:48:25.000-03:00,,,available_balance,post_payout_69972729948,21514.07,0.00,21514.07,0.00,0.00,0.00,0.00,0.00,0.00,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,21514.07,,,
35,2024-01-04T13:18:48.000-03:00,68143766547,2000007084874516,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-07T14:18:24.000-03:00,,,,,,,BRL,"""[]""",42881156742,custom,2000007084874516,,"""{""official_store_id"":null}""",0.00,,516292,,MLB3428434259,,,Mercado Libre, ,23726.82,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
36,2024-01-04T19:35:31.000-03:00,68359150822,2000007088239438,release,payment,2246.15,0.00,2690.00,0.00,-443.85,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-07T20:32:48.000-03:00,,,,,,,BRL,"""[]""",42882616764,custom,2000007088239438,,"""{""official_store_id"":null}""",0.00,,407843,,MLB3491287977,,,Mercado Libre, ,25972.97,,,"""""""Bebedouro De Ãgua 100 Litros AÃ§o InoxidÃ¡vel Coluna 100l"""""""
37,2024-01-05T04:17:10.000-03:00,1029511799526,,release,asset_management,7.30,0.00,7.30,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-05T04:17:10.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,25980.27,,,
38,2024-01-05T10:25:29.000-03:00,68198277073,2000007092429312,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-08T11:23:35.000-03:00,,,,,,,BRL,"""[]""",42884312651,custom,2000007092429312,,"""{""official_store_id"":null}""",0.00,,535081,,MLB3428434259,,,Mercado Libre, ,28193.02,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
39,2024-01-05T13:28:36.000-03:00,68210936863,2000007094053294,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-08T14:27:38.000-03:00,,,,,,,BRL,"""[]""",42885012649,custom,2000007094053294,,"""{""official_store_id"":null}""",0.00,,524474,,MLB3428434259,,,Mercado Libre, ,30405.77,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
40,2024-01-07T17:07:57.000-03:00,68646886401,2000007160923778,release,payment,4492.30,0.00,5380.00,0.00,-887.70,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-15T15:03:46.000-03:00,,,,,,,BRL,"""[]""",42930590461,custom,2000007160923778,,"""{""official_store_id"":null}""",0.00,,552693,,MLB3517277315,,,Mercado Libre, ,34898.07,,,"""""""Bebedouro De Ãgua 100 Litros AÃ§o InoxidÃ¡vel Coluna 100l"""""""
41,2024-01-08T04:48:56.000-03:00,1029539932589,,release,asset_management,8.82,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-08T04:48:56.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,34906.89,,,
42,2024-01-08T16:16:07.000-03:00,68588544916,2000007120459680,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-11T17:13:51.000-03:00,,,,,,,BRL,"""[]""",42896216983,custom,2000007120459680,,"""{""official_store_id"":null}""",0.00,,407505,,MLB1346937656,,,Mercado Libre, ,36825.72,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
